Fair Wage Schedule for Federal Construction Contracts,,,,
,,,,
Province,Area Zone,Classes,Occupation,Wage Rate per Hour
Alberta ,Calgary Zone,,*Electricians,$30.86
Alberta ,Calgary Zone,,*Plumbers,$31.98
Alberta ,Calgary Zone,,Sprinkler System Installers,$34.92
Alberta ,Calgary Zone,,"*Pipefitters, Steamfitters",$27.82
Alberta ,Calgary Zone,,*Sheet Metal Workers,$31.04
Alberta ,Calgary Zone,,*Ironworkers (except reinforcing ironworkers (rebar/rodman)),$26.84
Alberta ,Calgary Zone,,*Reinforcing Ironworkers (Rebar/Rodman),$25.74
Alberta ,Calgary Zone,,Metal Building System Erectors,$24.12
Alberta ,Calgary Zone,,Carpenters,$26.87
Alberta ,Calgary Zone,,Bricklayers (except refractory bricklayers),$31.58
Alberta ,Calgary Zone,,Concrete Finishers,$23.88
Alberta ,Calgary Zone,,"Tilesetters (including terrazo, marble setters)",$25.96
Alberta ,Calgary Zone,,Plasterers and Drywall Tapers,$26.50
Alberta ,Calgary Zone,,"Drywall Installers, Finishers and Lathers",$24.87
Alberta ,Calgary Zone,,Interior System Mechanics (including steel stud),$27.48
Alberta ,Calgary Zone,,Roofers,$23.29
Alberta ,Calgary Zone,,Glaziers,$27.14
Alberta ,Calgary Zone,,Insulators,$22.54
Alberta ,Calgary Zone,,Painters,$20.77
Alberta ,Calgary Zone,,Construction Millwrights,$30.49
Alberta ,Calgary Zone,,*Heavy-Duty Equipment Mechanics,$28.57
Alberta ,Calgary Zone,,*Refrigeration and Air Conditioning Mechanics,$35.20
Alberta ,Calgary Zone,,*Elevator Constructors,$39.47
Alberta ,Calgary Zone,,*Mobile Crane Operators,$28.88
Alberta ,Calgary Zone,,*Tower Crane Operators,$26.11
Alberta ,Calgary Zone,,Straight Truck Drivers,$22.88
Alberta ,Calgary Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$23.38
Alberta ,Calgary Zone,,Grader Operators,$25.31
Alberta ,Calgary Zone,,Paving Machine and Asphalt Plant Operators,$26.54
Alberta ,Calgary Zone,,Scraper Operators,$21.66
Alberta ,Calgary Zone,,Packer (road roller) Operators,$19.93
Alberta ,Calgary Zone,,*General Welder - Canadian Welders' Bureau,$29.75
Alberta ,Calgary Zone,,Asphalt Layers (by hand - includes rakers),$24.49
Alberta ,Calgary Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",$18.69
Alberta ,Calgary Zone,,Scaffold Erectors,$22.99
Alberta ,Edmonton Zone,,*Electricians,$31.09
Alberta ,Edmonton Zone,,*Plumbers,$30.80
Alberta ,Edmonton Zone,,Sprinkler System Installers,$36.95
Alberta ,Edmonton Zone,,"*Pipefitters, Steamfitters",$26.12
Alberta ,Edmonton Zone,,*Sheet Metal Workers,$28.94
Alberta ,Edmonton Zone,,*Ironworkers (except reinforcing ironworkers(rebar/rodman)),$25.94
Alberta ,Edmonton Zone,,*Reinforcing Ironworkers (Rebar/Rodman),$29.62
Alberta ,Edmonton Zone,,Metal Building System Erectors,$23.67
Alberta ,Edmonton Zone,,Carpenters,$28.46
Alberta ,Edmonton Zone,,Bricklayers (except refractory bricklayers),$30.00
Alberta ,Edmonton Zone,,Concrete Finishers,$24.72
Alberta ,Edmonton Zone,,"Tilesetters (including terrazo, marble setters)",$25.50
Alberta ,Edmonton Zone,,Plasterers and Drywall Tapers,$26.91
Alberta ,Edmonton Zone,,"Drywall Installers,Finishers and Lathers",$26.52
Alberta ,Edmonton Zone,,Interior System Mechanics (including steel stud),$27.18
Alberta ,Edmonton Zone,,Roofers,$26.38
Alberta ,Edmonton Zone,,Glaziers,$25.68
Alberta ,Edmonton Zone,,Insulators,$23.58
Alberta ,Edmonton Zone,,Painters,$21.29
Alberta ,Edmonton Zone,,Construction Millwrights,$29.09
Alberta ,Edmonton Zone,,*Heavy-Duty Equipment Mechanics,$31.45
Alberta ,Edmonton Zone,,*Refrigeration and Air Conditioning Mechanics,$33.91
Alberta ,Edmonton Zone,,*Elevator Constructors,$40.98
Alberta ,Edmonton Zone,,*Mobile Crane Operators,$28.02
Alberta ,Edmonton Zone,,*Tower Crane Operators,$26.11
Alberta ,Edmonton Zone,,Straight Truck Drivers,$22.98
Alberta ,Edmonton Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$27.01
Alberta ,Edmonton Zone,,Grader Operators,$27.46
Alberta ,Edmonton Zone,,Paving Machine and Asphalt Plant Operators,$23.13
Alberta ,Edmonton Zone,,Scraper Operators,$25.72
Alberta ,Edmonton Zone,,Packer (road roller) Operators,$20.70
Alberta ,Edmonton Zone,,*General Welder - Canadian Welders' Bureau,$32.44
Alberta ,Edmonton Zone,,Asphalt Layers (by hand - includes rakers),$23.57
Alberta ,Edmonton Zone,,"Trade Helpers, Labourers (except asphalt layers andscaffold erectors)",$19.10
Alberta ,Edmonton Zone,,Scaffold Erectors,$22.99
Alberta ,Mid Zone,,*Electricians,$29.79
Alberta ,Mid Zone,,*Plumbers,$28.09
Alberta ,Mid Zone,,Sprinkler System Installers,$35.62
Alberta ,Mid Zone,,"*Pipefitters, Steamfitters",$26.92
Alberta ,Mid Zone,,*Sheet Metal Workers,$23.37
Alberta ,Mid Zone,,*Ironworkers (except reinforcing ironworkers (rebar/rodman)),$26.84
Alberta ,Mid Zone,,*Reinforcing Ironworkers (Rebar/Rodman),$19.96
Alberta ,Mid Zone,,Metal Building System Erectors,$24.12
Alberta ,Mid Zone,,Carpenters,$25.56
Alberta ,Mid Zone,,Bricklayers (except refractory bricklayers),$30.61
Alberta ,Mid Zone,,Concrete Finishers,$21.90
Alberta ,Mid Zone,,"Tilesetters (including terrazo, marble setters)",$25.35
Alberta ,Mid Zone,,Plasterers and Drywall Tapers,$23.49
Alberta ,Mid Zone,,"Drywall Installers, Finishers and Lathers",$25.51
Alberta ,Mid Zone,,Interior System Mechanics (including steel stud),$26.78
Alberta ,Mid Zone,,Roofers,$26.28
Alberta ,Mid Zone,,Glaziers,$26.45
Alberta ,Mid Zone,,Insulators,$21.17
Alberta ,Mid Zone,,Painters,$20.78
Alberta ,Mid Zone,,Construction Millwrights,$29.09
Alberta ,Mid Zone,,*Heavy-Duty Equipment Mechanics,$28.05
Alberta ,Mid Zone,,*Refrigeration and Air Conditioning Mechanics,$33.49
Alberta ,Mid Zone,,*Elevator Constructors,$39.95
Alberta ,Mid Zone,,*Mobile Crane Operators,$28.02
Alberta ,Mid Zone,,*Tower Crane Operators,$26.11
Alberta ,Mid Zone,,Straight Truck Drivers,$24.03
Alberta ,Mid Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$23.20
Alberta ,Mid Zone,,Grader Operators,$24.17
Alberta ,Mid Zone,,Paving Machine and Asphalt Plant Operators,$24.07
Alberta ,Mid Zone,,Scraper Operators,$25.12
Alberta ,Mid Zone,,Packer (road roller) Operators,$19.72
Alberta ,Mid Zone,,*General Welder - Canadian Welders' Bureau,$25.84
Alberta ,Mid Zone,,Asphalt Layers (by hand - includes rakers),$20.99
Alberta ,Mid Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",$17.22
Alberta ,Mid Zone,,Scaffold Erectors,$22.99
Alberta ,North Zone,,*Electricians,$31.87
Alberta ,North Zone,,*Plumbers,$32.59
Alberta ,North Zone,,Sprinkler System Installers,$35.62
Alberta ,North Zone,,"*Pipefitters, Steamfitters",$30.81
Alberta ,North Zone,,*Sheet Metal Workers,$30.33
Alberta ,North Zone,,*Ironworkers (except reinforcing ironworkers (rebar/rodman)),$26.84
Alberta ,North Zone,,*Reinforcing Ironworkers (Rebar/Rodman),$27.98
Alberta ,North Zone,,Metal Building System Erectors,$24.12
Alberta ,North Zone,,Carpenters,$26.48
Alberta ,North Zone,,Bricklayers (except refractory brick layers),$30.61
Alberta ,North Zone,,Concrete Finishers,$26.67
Alberta ,North Zone,,"Tilesetters (including terrazo, marble setters)",$25.35
Alberta ,North Zone,,Plasterers and Drywall Tapers,$25.99
Alberta ,North Zone,,"Drywall Installers,Finishers and Lathers",$25.51
Alberta ,North Zone,,Interior System Mechanics (including steel stud),$26.78
Alberta ,North Zone,,Roofers,$22.13
Alberta ,North Zone,,Glaziers,$26.45
Alberta ,North Zone,,Insulators,$22.40
Alberta ,North Zone,,Painters,$19.91
Alberta ,North Zone,,Construction Millwrights,$29.09
Alberta ,North Zone,,*Heavy-Duty Equipment Mechanics,$28.96
Alberta ,North Zone,,*Refrigeration and Air Conditioning Mechanics,$35.69
Alberta ,North Zone,,*Elevator Constructors,$39.95
Alberta ,North Zone,,*Mobile Crane Operators,$28.02
Alberta ,North Zone,,*Tower Crane Operators,$26.11
Alberta ,North Zone,,Straight Truck Drivers,$24.88
Alberta ,North Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$25.75
Alberta ,North Zone,,Grader Operators,$25.10
Alberta ,North Zone,,Paving Machine and Asphalt Plant Operators,$24.07
Alberta ,North Zone,,Scraper Operators,$25.56
Alberta ,North Zone,,Packer (road roller) Operators,$19.92
Alberta ,North Zone,,*General Welder - Canadian Welders' Bureau,$39.36
Alberta ,North Zone,,Asphalt Layers (by hand - includes rakers),$23.62
Alberta ,North Zone,,"Trade Helpers, Labourers (except asphalt layers andscaffold erectors)",$18.31
Alberta ,North Zone,,Scaffold Erectors,$22.99
Alberta ,South Zone,,*Electricians,$28.28
Alberta ,South Zone,,*Plumbers,$27.70
Alberta ,South Zone,,Sprinkler System Installers,$35.62
Alberta ,South Zone,,"*Pipefitters, Steamfitters",$21.45
Alberta ,South Zone,,*Sheet Metal Workers,$25.11
Alberta ,South Zone,,*Ironworkers (except reinforcing ironworkers (rebar/rodman)),$27.09
Alberta ,South Zone,,*Reinforcing Ironworkers (Rebar/Rodman),$27.98
Alberta ,South Zone,,Metal Building System Erectors,$24.12
Alberta ,South Zone,,Carpenters,$22.81
Alberta ,South Zone,,Bricklayers (except refractory bricklayers),$27.00
Alberta ,South Zone,,Concrete Finishers,$21.40
Alberta ,South Zone,,"Tilesetters (including terrazo, marble setters)",$25.35
Alberta ,South Zone,,Plasterers and Drywall Tapers,$23.92
Alberta ,South Zone,,"Drywall Installers, Finishers and Lathers",$24.67
Alberta ,South Zone,,Interior System Mechanics (including steel stud),$24.88
Alberta ,South Zone,,Roofers,$18.88
Alberta ,South Zone,,Glaziers,$26.45
Alberta ,South Zone,,Insulators,$18.27
Alberta ,South Zone,,Painters,$20.21
Alberta ,South Zone,,Construction Millwrights,$29.09
Alberta ,South Zone,,*Heavy-Duty Equipment Mechanics,$25.97
Alberta ,South Zone,,*Refrigeration and Air Conditioning Mechanics,$27.89
Alberta ,South Zone,,*Elevator Constructors,$39.95
Alberta ,South Zone,,*Mobile Crane Operators,$28.02
Alberta ,South Zone,,*Tower Crane Operators,$26.11
Alberta ,South Zone,,Straight Truck Drivers,$18.65
Alberta ,South Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$21.22
Alberta ,South Zone,,Grader Operators,$24.52
Alberta ,South Zone,,Paving Machine and Asphalt Plant Operators,$24.07
Alberta ,South Zone,,Scraper Operators,$22.89
Alberta ,South Zone,,Packer (road roller) Operators,$17.79
Alberta ,South Zone,,*General Welder - Canadian Welders' Bureau,$26.24
Alberta ,South Zone,,Asphalt Layers (by hand - includes rakers),$23.62
Alberta ,South Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",$16.03
Alberta ,South Zone,,Scaffold Erectors,$22.99
British Columbia,Island/Coast/North Zone,,Electricians,$30.60
British Columbia,Island/Coast/North Zone,,Plumbers,$32.40
British Columbia,Island/Coast/North Zone,,Sprinkler System Installers,$32.00
British Columbia,Island/Coast/North Zone,,Steamfitters and Pipefitters,$33.40
British Columbia,Island/Coast/North Zone,,Sheet Metal Workers,$30.50
British Columbia,Island/Coast/North Zone,,Ironworkers (excluding Reinforcing Ironworkers),$32.40
British Columbia,Island/Coast/North Zone,,Reinforcing Ironworkers (rebar/rodman),$23.90
British Columbia,Island/Coast/North Zone,,Carpenters,$28.20
British Columbia,Island/Coast/North Zone,,Bricklayers,$29.50
British Columbia,Island/Coast/North Zone,,Concrete Finishers,$24.50
British Columbia,Island/Coast/North Zone,,"Tilesetters (including Terrazo and Marble, etc.)",$27.90
British Columbia,Island/Coast/North Zone,,Plasterers and Stucco Applicators,$25.00
British Columbia,Island/Coast/North Zone,,"Drywall Installers, Finishers, Lathers and Tapers",$26.90
British Columbia,Island/Coast/North Zone,,Roofers,$24.10
British Columbia,Island/Coast/North Zone,,Glaziers,$26.80
British Columbia,Island/Coast/North Zone,,Insulators,$23.80
British Columbia,Island/Coast/North Zone,,Painters,$21.10
British Columbia,Island/Coast/North Zone,,Floor Covering Installers,$23.20
