,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_km_min,estimated_diameter_km_max,close_approach_date,close_approach_date_full,epoch_date_close_approach,relative_velocity,orbiting_body,kilometers_per_second,kilometers_per_hour,miss_distance_kilometers
0,2416591,416591 (2004 LC2),18.66,True,False,0.4926687055,1.1016407159,2020-01-02,2020-Jan-02 01:53,1577929980000,,Earth,18.5987778752,66955.6003508471,30662143.703405853
0,2506491,506491 (2003 UW29),20.77,True,False,0.1864468183,0.41690776,2020-01-02,2020-Jan-02 09:35,1577957700000,,Earth,37.6221532439,135439.7516780778,37818205.10274256
0,3591616,(2011 YP10),24.6,False,False,0.0319561887,0.0714562102,2020-01-02,2020-Jan-02 07:43,1577950980000,,Earth,5.6403530723,20305.2710603878,10645283.689994342
0,3599868,(2012 DN31),24.0,False,False,0.0421264611,0.0941976306,2020-01-02,2020-Jan-02 13:28,1577971680000,,Earth,21.6106016558,77798.1659609434,68102875.157882628
0,3623681,(2013 AW52),20.02,False,False,0.263363131,0.5888978636,2020-01-02,2020-Jan-02 12:00,1577966400000,,Earth,16.5306201679,59510.2326045044,27324640.191590356
0,3711166,(2015 DY53),21.43,False,False,0.1375798959,0.3076379996,2020-01-02,2020-Jan-02 14:40,1577976000000,,Earth,8.3858595165,30189.0942594108,28943098.018751644
0,3736392,(2015 XZ168),24.7,False,False,0.0305179233,0.0682401509,2020-01-02,2020-Jan-02 16:33,1577982780000,,Earth,9.0662034795,32638.3325260842,67642260.443873524
0,3760885,(2016 TR55),22.99,False,False,0.0670741189,0.1499822895,2020-01-02,2020-Jan-02 14:35,1577975700000,,Earth,6.8362235494,24610.4047777292,67531035.773909354
0,3837605,(2019 AE3),27.4,False,False,0.0088014652,0.0196806745,2020-01-02,2020-Jan-02 16:08,1577981280000,,Earth,8.2431067166,29675.1841799205,1865744.751847858
0,3943370,(2019 YH2),23.35,False,False,0.0568270323,0.1270691073,2020-01-02,2020-Jan-02 09:36,1577957760000,,Earth,14.2787337462,51403.4414861465,2824432.603886633
0,3971137,(2019 YL6),25.3,False,False,0.0231502122,0.0517654482,2020-01-02,2020-Jan-02 07:47,1577951220000,,Earth,4.8040248636,17294.4895088459,7640249.326826375
0,3971141,(2019 YO6),22.1,False,False,0.1010543415,0.2259643771,2020-01-02,2020-Jan-02 10:02,1577959320000,,Earth,7.2173850683,25982.5862459094,46834119.296937814
