,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_km_min,estimated_diameter_km_max,close_approach_date,close_approach_date_full,orbiting_body,kilometers_per_second,kilometers_per_hour,miss_distance_kilometers
0,2416591,416591 (2004 LC2),18.66,1,0,0.4930000007152557,1.101999998092651,2020-01-02,2020-01-02 01:53:00,Earth,18.599,66955,30662143
1,2506491,506491 (2003 UW29),20.77,1,0,0.1860000044107437,0.4169999957084656,2020-01-02,2020-01-02 09:35:00,Earth,37.622,135439,37818205
2,3591616,(2011 YP10),24.6,0,0,0.03200000151991844,0.07100000232458115,2020-01-02,2020-01-02 07:43:00,Earth,5.64,20305,10645283
3,3599868,(2012 DN31),24.0,0,0,0.04199999943375587,0.09399999678134918,2020-01-02,2020-01-02 13:28:00,Earth,21.611,77798,68102875
4,3623681,(2013 AW52),20.02,0,0,0.2630000114440918,0.5889999866485596,2020-01-02,2020-01-02 12:00:00,Earth,16.531,59510,27324640
5,3711166,(2015 DY53),21.43,0,0,0.1379999965429306,0.3079999983310699,2020-01-02,2020-01-02 14:40:00,Earth,8.386,30189,28943098
6,3736392,(2015 XZ168),24.7,0,0,0.03099999949336052,0.06800000369548798,2020-01-02,2020-01-02 16:33:00,Earth,9.066,32638,67642260
7,3760885,(2016 TR55),22.99,0,0,0.06700000166893005,0.1500000059604645,2020-01-02,2020-01-02 14:35:00,Earth,6.836,24610,67531035
8,3837605,(2019 AE3),27.4,0,0,0.008999999612569809,0.01999999955296516,2020-01-02,2020-01-02 16:08:00,Earth,8.243,29675,1865744
9,3943370,(2019 YH2),23.35,0,0,0.05700000002980232,0.1270000040531158,2020-01-02,2020-01-02 09:36:00,Earth,14.279,51403,2824432
10,3971137,(2019 YL6),25.3,0,0,0.02300000004470348,0.05200000107288361,2020-01-02,2020-01-02 07:47:00,Earth,4.804,17294,7640249
11,3971141,(2019 YO6),22.1,0,0,0.101000003516674,0.2259999960660934,2020-01-02,2020-01-02 10:02:00,Earth,7.217,25982,46834119
12,3968762,(2020 AC),26.7,0,0,0.01200000010430813,0.02700000070035458,2020-01-02,2020-01-02 06:56:00,Earth,5.793,20855,1295027
13,3968763,(2020 AD),27.2,0,0,0.009999999776482582,0.02199999988079071,2020-01-02,2020-01-02 09:12:00,Earth,15.623,56242,894941
14,3973542,(2020 AC1),28.4,0,0,0.006000000052154064,0.01200000010430813,2020-01-02,2020-01-02 22:50:00,Earth,6.224,22406,797603
15,3976533,(2020 AP1),29.6,0,0,0.003000000026077032,0.007000000216066837,2020-01-02,2020-01-02 15:33:00,Earth,5.609,20190,326831
16,3986810,(2020 BK2),21.8,0,0,0.1159999966621399,0.2590000033378601,2020-01-02,2020-01-02 04:59:00,Earth,20.429,73545,23948873
17,3989098,(2020 BS5),23.04,0,0,0.06599999964237213,0.1469999998807907,2020-01-02,2020-01-02 06:20:00,Earth,2.153,7751,33613641
18,54017163,(2020 KS2),24.4,0,0,0.03500000014901161,0.07800000160932541,2020-01-02,2020-01-02 19:00:00,Earth,19.182,69055,63902534
19,54139319,(2021 HP2),27.43,0,0,0.008999999612569809,0.01899999938905239,2020-01-02,2020-01-02 11:04:00,Earth,15.29,55045,44105946
20,54142833,(2021 JG),26.13,0,0,0.01600000075995922,0.03500000014901161,2020-01-02,2020-01-02 13:04:00,Earth,9.455,34037,38174999
21,54236939,(2022 AT6),23.23,0,0,0.05999999865889549,0.1340000033378601,2020-01-02,2020-01-02 09:36:00,Earth,23.594,84938,65730911
22,3623580,(2013 AS27),21.4,1,0,0.1389999985694885,0.3120000064373016,2020-01-03,2020-01-03 05:19:00,Earth,16.859,60692,37725335
23,3623610,(2013 AB32),22.9,0,0,0.07000000029802322,0.1560000032186508,2020-01-03,2020-01-03 04:02:00,Earth,20.466,73677,50313408
24,3678563,(2014 OY337),20.85,0,0,0.1800000071525574,0.4020000100135803,2020-01-03,2020-01-03 06:48:00,Earth,11.616,41816,72295617
25,3735998,(2015 XQ55),21.81,0,0,0.1150000020861626,0.257999986410141,2020-01-03,2020-01-03 02:49:00,Earth,25.424,91527,43912866
26,3736497,(2015 XF261),25.0,0,0,0.02700000070035458,0.05900000035762787,2020-01-03,2020-01-03 23:50:00,Earth,8.089,29120,42486557
27,3781344,(2017 RV),21.94,1,0,0.1089999973773956,0.2430000007152557,2020-01-03,2020-01-03 16:30:00,Earth,17.574,63267,12932302
28,3797676,(2018 AU11),25.3,0,0,0.02300000004470348,0.05200000107288361,2020-01-03,2020-01-03 09:14:00,Earth,23.381,84171,54996599
29,3825061,(2018 LH),24.1,0,0,0.03999999910593033,0.09000000357627869,2020-01-03,2020-01-03 10:39:00,Earth,23.839,85819,58729330
30,3959233,(2019 YN4),22.8,0,0,0.0729999989271164,0.164000004529953,2020-01-03,2020-01-03 00:06:00,Earth,11.178,40239,53695251
31,3985565,(2020 AP2),24.8,0,0,0.02899999916553497,0.06499999761581421,2020-01-03,2020-01-03 13:29:00,Earth,11.405,41059,14806424
32,3986832,(2020 BT2),23.67,0,0,0.04899999871850014,0.1099999994039536,2020-01-03,2020-01-03 11:22:00,Earth,8.938,32175,9643603
33,3989183,(2020 BD8),20.8,0,0,0.1840000003576279,0.4110000133514404,2020-01-03,2020-01-03 09:11:00,Earth,28.329,101984,55550344
34,3989261,(2020 BN11),22.3,0,0,0.09200000017881393,0.2060000002384186,2020-01-03,2020-01-03 15:31:00,Earth,19.749,71097,37176045
35,54245585,(2022 CV2),22.99,0,0,0.06700000166893005,0.1500000059604645,2020-01-03,2020-01-03 19:42:00,Earth,8.914,32089,19909947
36,54247545,(2016 FH60),23.12,0,0,0.06300000101327896,0.1410000026226044,2020-01-03,2020-01-03 19:41:00,Earth,8.914,32089,19911034
37,54335458,(2022 YL1),24.26,0,0,0.03700000047683716,0.08399999886751175,2020-01-03,2020-01-03 19:15:00,Earth,9.481,34131,13892989
38,2468541,468541 (2006 QA31),20.12,0,0,0.2520000040531158,0.5619999766349792,2020-01-04,2020-01-04 20:48:00,Earth,16.086,57908,49651161
39,3252104,(2004 RO111),23.3,0,0,0.05799999833106995,0.1299999952316284,2020-01-04,2020-01-04 23:35:00,Earth,12.21,43957,51345169
40,3414251,(2008 LW16),19.95,1,0,0.2720000147819519,0.6079999804496765,2020-01-04,2020-01-04 11:56:00,Earth,16.525,59488,16984652
41,3655758,(2014 AD17),20.24,0,0,0.2380000054836273,0.5320000052452087,2020-01-04,2020-01-04 05:52:00,Earth,5.831,20991,43296505
42,3736409,(2015 XR169),28.7,0,0,0.004999999888241291,0.01099999994039536,2020-01-04,2020-01-04 10:50:00,Earth,6.647,23929,18351838
